INEQUALITY,LOCATION,INDICATOR,MEASURE,Value
MN,HUN,SW_LIFS,L,6.3
MN,GRC,SW_LIFS,L,6
MN,DEU,SW_LIFS,L,7.4
MN,FRA,SW_LIFS,L,6.8
MN,FIN,SW_LIFS,L,7.7
MN,DNK,SW_LIFS,L,7.4
MN,CZE,SW_LIFS,L,6.9
MN,CAN,SW_LIFS,L,7
MN,BEL,SW_LIFS,L,6.9
MN,AUT,SW_LIFS,L,7.1
MN,AUS,SW_LIFS,L,7.1
WMN,CRI,SW_LIFS,L,6.5
MN,CRI,SW_LIFS,L,6.2
WMN,COL,SW_LIFS,L,5.7
MN,COL,SW_LIFS,L,5.7
WMN,EST,SW_LIFS,L,6.6
WMN,CHL,SW_LIFS,L,6.1
WMN,ISL,SW_LIFS,L,7.7
WMN,HUN,SW_LIFS,L,5.8
WMN,GRC,SW_LIFS,L,5.6
WMN,DEU,SW_LIFS,L,7.3
WMN,FRA,SW_LIFS,L,6.7
WMN,FIN,SW_LIFS,L,8.1
WMN,DNK,SW_LIFS,L,7.6
WMN,CZE,SW_LIFS,L,6.9
WMN,CAN,SW_LIFS,L,7
WMN,BEL,SW_LIFS,L,6.8
WMN,AUT,SW_LIFS,L,7.3
WMN,AUS,SW_LIFS,L,7.2
MN,EST,SW_LIFS,L,6.3
MN,CHL,SW_LIFS,L,6.2
MN,GRC,PS_REPH,L,1.6
MN,DEU,PS_REPH,L,0.4
MN,FRA,PS_REPH,L,0.6
MN,FIN,PS_REPH,L,1.8
MN,DNK,PS_REPH,L,0.7
MN,CZE,PS_REPH,L,0.8
MN,CAN,PS_REPH,L,1.8
MN,BEL,PS_REPH,L,1.4
MN,AUT,PS_REPH,L,0.5
MN,AUS,PS_REPH,L,1.3
WMN,FIN,PS_REPH,L,0.7
WMN,CRI,PS_REPH,L,1.8
MN,CRI,PS_REPH,L,18.2
WMN,COL,PS_REPH,L,4.1
MN,COL,PS_REPH,L,43
WMN,EST,PS_REPH,L,0.6
WMN,CHL,PS_REPH,L,0.7
WMN,ISL,PS_REPH,L,1.2
WMN,HUN,PS_REPH,L,0.7
WMN,GRC,PS_REPH,L,0.4
WMN,DEU,PS_REPH,L,0.3
WMN,FRA,PS_REPH,L,0.3
WMN,DNK,PS_REPH,L,0.4
WMN,CZE,PS_REPH,L,0.6
WMN,CAN,PS_REPH,L,0.7
WMN,BEL,PS_REPH,L,0.8
WMN,AUT,PS_REPH,L,0.5
WMN,AUS,PS_REPH,L,0.6
MN,EST,PS_REPH,L,3.1
MN,CHL,PS_REPH,L,4.2
MN,ISL,PS_REPH,L,0.5
MN,ISL,SW_LIFS,L,7.4
MN,HUN,PS_REPH,L,1.1
